fromstn,tostn,date,lv_value,lv_error,isetupid,tsetupid
WAW1,WAW3,2015-09-21,-0.5375,0.0002,WAW1,WAW3
WAW3,WAW1,2015-09-21,0.5372,0.0002,WAW3,WAW1
WAW3,WAW2,2015-09-21,0.4227,0.0002,WAW3,WAW2
WAW2,WAW3,2015-09-21,-0.4227,0.0002,WAW2,WAW3
WAW2,WAW1,2015-09-21,0.1145,0.0002,WAW2,WAW1
WAW1,WAW2,2015-09-21,-0.1146,0.0002,WAW1,WAW2
WAW2,WAWH,2015-09-21,0.6034,0.0002,WAW2,WAWH
WAWH,WAW2,2015-09-21,-0.6034,0.0002,WAWH,WAW2
WAW3,WAWH,2015-09-21,1.0261,0.0002,WAW3,WAWH
WAWH,WAW3,2015-09-21,-1.0261,0.0002,WAWH,WAW3
WAW1,WAWH,2015-09-21,0.4889,0.0002,WAW1,WAWH
WAWH,WAW1,2015-09-21,-0.4890,0.0002,WAWH,WAW1
WAW1,EVRA,2015-09-21,0.2988,0.0002,WAW1,EVRA
EVRA,WAW1,2015-09-21,-0.2988,0.0002,EVRA,WAW1
WANE,WASE,2015-09-21,1.4275,0.0002,WANE,WASE
WASE,WANE,2015-09-21,-1.4275,0.0002,WASE,WANE
WANE,WAW1,2015-09-21,-10.3264,0.0030,WANE,WAW1
WAW1,WANE,2015-09-21,10.3236,0.0030,WAW1,WANE
WAWH,WARK,2015-09-21,1.2857,0.0002,WAWH,WARK
WARK,WAWH,2015-09-21,-1.2859,0.0002,WARK,WAWH
WAWH,WARK,2015-09-21,1.2863,0.0002,WAWH,WARK
WARK,WAWH,2015-09-21,-1.2859,0.0002,WARK,WAWH
