code,name,longitude,latitude,ellheight
AUCK,AUCK,174.834386235,-36.602839037,132.6807
AUKT,AUKT,174.770420622,-36.843752597,40.0708
CORM,CORM,175.749558237,-36.865428007,170.2429
HAMT,HAMT,175.109198658,-37.806749873,69.4052
HOB2,HOB2,147.438736169,-42.804707598,41.0419
KOUC,KOUC,164.287338534,-20.558688796,84.1370
KTIA,KTIA,173.273110795,-35.068927080,127.4363
MAC1,MAC1,158.935830387,-54.499527874,-6.8110
MAHO,MAHO,174.854087784,-38.513003651,302.4905
MOBS,MOBS,144.975340100,-37.829405602,40.5844
TID1,TID1,148.980000278,-35.399199518,665.3289
TOW2,TOW2,147.055690893,-19.269274782,88.1078
TRNG,TRNG,176.260877790,-37.728806817,151.1112
TWN3,TWN3,174.662325045,-36.432735439,98.7739
TWS3,TWS3,174.662423702,-36.433549879,101.7576
TWSE,TWSE,174.663432422,-36.434841424,121.1275
TWSW,TWSW,174.663117722,-36.434825101,121.0256
WAN3,WAN3,174.662325045,-36.432833738,98.3913
WANE,WANE,174.663331733,-36.434707402,119.8251
WANW,WANW,174.663092069,-36.434776660,120.2133
WARK,WARK,174.662780202,-36.434408643,111.2796
WAS3,WAS3,174.662423702,-36.433630901,101.6369
WASE,WASE,174.663432422,-36.434940562,121.2519
WASW,WASW,174.663117722,-36.434928622,120.9002
WAW1,WAW1,174.662890484,-36.434394605,109.5058
WAW2,WAW2,174.662742974,-36.434494315,109.3896
WAW3,WAW3,174.662709206,-36.434340420,108.9667
WAWH,WAWH,174.662780202,-36.434426379,109.9937
WHNG,WHNG,174.314567417,-35.803765846,172.7791
